real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
6,5.1_5.5,3.5_4.444000000000001,1.7_4.0,0.3_0.6,Iris-setosa
21,5.1_5.5,3.3_3.5,1.7_4.0,0.1_0.3,Iris-setosa
23,4.3_4.9,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
25,4.3_4.9,3.3_3.5,1.7_4.0,0.1_0.3,Iris-setosa
27,4.9_5.1,3.3_3.5,1.5_1.7,0.3_0.6,Iris-setosa
30,4.3_4.9,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
37,5.5_5.8,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
41,4.9_5.1,3.5_4.444000000000001,1.0_1.5,0.3_0.6,Iris-setosa
43,4.3_4.9,3.1_3.3,1.0_1.5,0.1_0.3,Iris-setosa
53,6.8_7.979,3.1_3.3,4.8_5.2,1.5_1.7,Iris-versicolor
72,6.1_6.4,2.6_2.9,4.0_4.5,1.3_1.5,Iris-versicolor
82,5.5_5.8,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
85,5.1_5.5,2.9_3.1,4.5_4.8,1.5_1.7,Iris-versicolor
86,5.8_6.1,3.3_3.5,4.5_4.8,1.5_1.7,Iris-versicolor
113,6.8_7.979,2.9_3.1,5.2_5.7,2.0_2.525,Iris-virginica
