sepallength,sepalwidth,petallength,petalwidth,label
5.1_5.5,3.5_4.444000000000001,1.5_1.7,0.1_0.3,Iris-setosa
4.9_5.1,3.3_3.5,1.0_1.5,0.1_0.3,Iris-setosa
6.4_6.8,3.1_3.3,4.0_4.5,1.3_1.5,Iris-versicolor
5.8_6.1,3.1_3.3,4.8_5.2,1.7_2.0,Iris-versicolor
5.5_5.8,2.0_2.6,4.0_4.5,1.3_1.5,Iris-versicolor
6.8_7.979,3.5_4.444000000000001,5.7_6.969,2.0_2.525,Iris-virginica
5.8_6.1,2.6_2.9,4.8_5.2,2.0_2.525,Iris-virginica
6.8_7.979,3.1_3.3,5.7_6.969,2.0_2.525,Iris-virginica
6.1_6.4,2.6_2.9,4.8_5.2,1.5_1.7,Iris-virginica
6.4_6.8,3.1_3.3,5.2_5.7,2.0_2.525,Iris-virginica
5.8_6.1,2.6_2.9,4.8_5.2,1.7_2.0,Iris-virginica
6.4_6.8,3.3_3.5,5.7_6.969,2.0_2.525,Iris-virginica
6.4_6.8,2.9_3.1,5.2_5.7,2.0_2.525,Iris-virginica
6.1_6.4,3.3_3.5,5.2_5.7,2.0_2.525,Iris-virginica
5.8_6.1,2.9_3.1,4.8_5.2,1.7_2.0,Iris-virginica
