real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
2,4.9_5.1,2.9_3.1,1.0_1.5,?,Iris-setosa
10,?,?,1.5_1.7,0.1_0.3,Iris-setosa
11,5.1_5.5,3.5_4.444000000000001,1.5_1.7,?,Iris-setosa
21,?,3.3_3.5,1.7_4.0,?,Iris-setosa
36,4.9_5.1,3.1_3.3,?,?,Iris-setosa
49,5.1_5.5,3.5_4.444000000000001,?,?,Iris-setosa
53,6.8_7.979,3.1_3.3,?,?,Iris-versicolor
54,5.5_5.8,?,4.0_4.5,1.3_1.5,?
57,6.1_6.4,3.3_3.5,?,1.5_1.7,Iris-versicolor
60,?,2.6_2.9,?,?,Iris-versicolor
61,4.9_5.1,2.0_2.6,1.7_4.0,?,Iris-versicolor
70,5.5_5.8,2.0_2.6,?,0.6_1.3,Iris-versicolor
76,6.4_6.8,2.9_3.1,4.0_4.5,1.3_1.5,?
81,5.5_5.8,?,1.7_4.0,0.6_1.3,Iris-versicolor
82,5.5_5.8,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
