real,string,string
ID,sepalwidth,petalwidth
12,3.3_3.5,0.1_0.3
23,3.5_4.444000000000001,0.1_0.3
26,?,?
33,?,0.1_0.3
38,3.1_3.3,?
71,?,?
84,2.6_2.9,1.5_1.7
93,2.6_2.9,0.6_1.3
114,?,2.0_2.525
115,?,2.0_2.525
119,2.6_2.9,?
123,2.6_2.9,2.0_2.525
127,2.6_2.9,?
128,2.9_3.1,1.7_2.0
133,2.6_2.9,2.0_2.525
5,?,0.1_0.3
8,?,0.1_0.3
16,?,0.3_0.6
25,3.3_3.5,0.1_0.3
27,3.3_3.5,0.3_0.6
43,3.1_3.3,?
62,?,1.5_1.7
73,2.0_2.6,1.5_1.7
90,2.0_2.6,1.3_1.5
102,?,?
135,?,1.3_1.5
140,3.1_3.3,2.0_2.525
141,3.1_3.3,2.0_2.525
148,?,?
149,3.3_3.5,2.0_2.525
2,2.9_3.1,?
10,?,0.1_0.3
11,3.5_4.444000000000001,?
21,3.3_3.5,?
36,3.1_3.3,?
49,3.5_4.444000000000001,?
53,3.1_3.3,?
54,?,1.3_1.5
57,3.3_3.5,1.5_1.7
60,2.6_2.9,?
61,2.0_2.6,?
70,2.0_2.6,0.6_1.3
76,2.9_3.1,1.3_1.5
81,?,0.6_1.3
82,2.0_2.6,0.6_1.3
6,3.5_4.444000000000001,0.3_0.6
19,3.5_4.444000000000001,0.3_0.6
42,2.0_2.6,?
68,2.6_2.9,?
72,2.6_2.9,1.3_1.5
75,2.9_3.1,?
79,2.9_3.1,1.5_1.7
87,?,1.5_1.7
89,2.9_3.1,1.3_1.5
91,2.6_2.9,?
92,2.9_3.1,1.3_1.5
99,2.0_2.6,0.6_1.3
142,3.1_3.3,?
144,3.1_3.3,?
146,2.9_3.1,?
13,?,0.1_0.3
18,3.5_4.444000000000001,0.3_0.6
32,3.3_3.5,0.3_0.6
44,?,?
74,2.6_2.9,?
77,2.6_2.9,1.3_1.5
107,2.0_2.6,1.7_2.0
108,2.9_3.1,?
109,2.0_2.6,1.7_2.0
111,3.1_3.3,2.0_2.525
118,3.5_4.444000000000001,2.0_2.525
131,2.6_2.9,1.7_2.0
136,?,2.0_2.525
137,3.3_3.5,2.0_2.525
138,3.1_3.3,1.7_2.0
4,3.1_3.3,0.1_0.3
17,3.5_4.444000000000001,0.3_0.6
28,3.5_4.444000000000001,0.1_0.3
34,3.5_4.444000000000001,?
48,3.1_3.3,0.1_0.3
51,?,1.3_1.5
52,3.1_3.3,?
56,2.6_2.9,1.3_1.5
64,?,1.3_1.5
83,2.6_2.9,?
95,?,?
106,2.9_3.1,2.0_2.525
110,?,2.0_2.525
121,3.1_3.3,2.0_2.525
126,?,?
7,3.3_3.5,0.3_0.6
14,2.9_3.1,0.1_0.3
24,3.3_3.5,0.3_0.6
29,3.3_3.5,0.1_0.3
30,?,0.1_0.3
39,2.9_3.1,?
78,?,1.7_2.0
96,?,0.6_1.3
97,2.9_3.1,1.3_1.5
101,3.3_3.5,2.0_2.525
112,?,?
116,3.1_3.3,?
120,?,1.5_1.7
122,2.6_2.9,2.0_2.525
130,2.9_3.1,1.5_1.7
9,2.9_3.1,0.1_0.3
15,?,?
20,3.5_4.444000000000001,?
40,?,0.1_0.3
47,?,0.1_0.3
50,?,0.1_0.3
69,?,1.5_1.7
80,2.6_2.9,0.6_1.3
85,2.9_3.1,1.5_1.7
100,?,1.3_1.5
103,?,2.0_2.525
104,2.9_3.1,1.7_2.0
124,2.6_2.9,1.7_2.0
134,2.6_2.9,1.5_1.7
143,2.6_2.9,?
1,3.5_4.444000000000001,0.1_0.3
3,3.1_3.3,0.1_0.3
35,?,0.1_0.3
41,3.5_4.444000000000001,0.3_0.6
55,2.6_2.9,?
59,?,1.3_1.5
66,?,1.3_1.5
86,3.3_3.5,1.5_1.7
94,2.0_2.6,0.6_1.3
113,2.9_3.1,?
125,?,?
139,2.9_3.1,1.7_2.0
145,3.3_3.5,?
147,2.0_2.6,1.7_2.0
150,2.9_3.1,1.7_2.0
