real,string,string,string
ID,sepallength,petallength,label
12,4.3_4.9,?,Iris-setosa
23,4.3_4.9,1.0_1.5,Iris-setosa
26,4.9_5.1,1.5_1.7,?
33,5.1_5.5,1.5_1.7,Iris-setosa
38,?,1.5_1.7,Iris-setosa
71,5.8_6.1,4.8_5.2,Iris-versicolor
84,?,?,Iris-versicolor
93,5.8_6.1,4.0_4.5,?
114,5.5_5.8,4.8_5.2,Iris-virginica
115,5.8_6.1,?,Iris-virginica
119,?,5.7_6.969,Iris-virginica
123,?,5.7_6.969,Iris-virginica
127,?,4.8_5.2,Iris-virginica
128,6.1_6.4,4.8_5.2,Iris-virginica
133,?,5.2_5.7,Iris-virginica
5,4.9_5.1,?,?
8,4.9_5.1,?,Iris-setosa
16,?,1.5_1.7,Iris-setosa
25,?,?,Iris-setosa
27,4.9_5.1,?,Iris-setosa
43,?,1.0_1.5,?
62,5.8_6.1,4.0_4.5,?
73,?,4.8_5.2,?
90,5.5_5.8,4.0_4.5,Iris-versicolor
102,5.8_6.1,?,?
135,6.1_6.4,5.2_5.7,?
140,?,5.2_5.7,?
141,6.4_6.8,?,?
148,6.4_6.8,5.2_5.7,Iris-virginica
149,?,?,?
2,4.9_5.1,1.0_1.5,Iris-setosa
10,?,1.5_1.7,Iris-setosa
11,5.1_5.5,1.5_1.7,Iris-setosa
21,?,1.7_4.0,Iris-setosa
36,4.9_5.1,?,Iris-setosa
49,5.1_5.5,?,Iris-setosa
53,6.8_7.979,?,Iris-versicolor
54,5.5_5.8,4.0_4.5,?
57,6.1_6.4,?,Iris-versicolor
60,?,?,Iris-versicolor
61,4.9_5.1,1.7_4.0,Iris-versicolor
70,5.5_5.8,?,Iris-versicolor
76,6.4_6.8,4.0_4.5,?
81,5.5_5.8,1.7_4.0,Iris-versicolor
82,5.5_5.8,1.7_4.0,Iris-versicolor
6,5.1_5.5,1.7_4.0,?
19,5.5_5.8,?,Iris-setosa
42,4.3_4.9,1.0_1.5,Iris-setosa
68,5.8_6.1,4.0_4.5,Iris-versicolor
72,6.1_6.4,?,Iris-versicolor
75,6.4_6.8,4.0_4.5,Iris-versicolor
79,5.8_6.1,4.5_4.8,Iris-versicolor
87,?,4.5_4.8,Iris-versicolor
89,?,4.0_4.5,Iris-versicolor
91,5.5_5.8,4.0_4.5,Iris-versicolor
92,?,4.5_4.8,Iris-versicolor
99,5.1_5.5,1.7_4.0,?
142,6.8_7.979,?,?
144,6.8_7.979,5.7_6.969,?
146,?,5.2_5.7,Iris-virginica
13,?,1.0_1.5,Iris-setosa
18,5.1_5.5,1.0_1.5,Iris-setosa
32,5.1_5.5,1.5_1.7,Iris-setosa
44,?,1.5_1.7,?
74,6.1_6.4,?,Iris-versicolor
77,?,4.8_5.2,Iris-versicolor
107,?,?,Iris-virginica
108,6.8_7.979,5.7_6.969,Iris-virginica
109,6.4_6.8,5.7_6.969,Iris-virginica
111,6.4_6.8,4.8_5.2,Iris-virginica
118,6.8_7.979,?,?
131,6.8_7.979,?,Iris-virginica
136,6.8_7.979,5.7_6.969,Iris-virginica
137,?,5.2_5.7,Iris-virginica
138,6.4_6.8,5.2_5.7,Iris-virginica
4,?,1.5_1.7,Iris-setosa
17,?,1.0_1.5,Iris-setosa
28,5.1_5.5,1.5_1.7,Iris-setosa
34,?,?,?
48,4.3_4.9,1.0_1.5,?
51,6.8_7.979,4.5_4.8,Iris-versicolor
52,6.4_6.8,4.5_4.8,?
56,5.5_5.8,?,Iris-versicolor
64,6.1_6.4,?,Iris-versicolor
83,5.8_6.1,1.7_4.0,?
95,?,?,Iris-versicolor
106,6.8_7.979,?,?
110,6.8_7.979,5.7_6.969,Iris-virginica
121,?,5.7_6.969,?
126,6.8_7.979,5.7_6.969,Iris-virginica
9,4.3_4.9,1.0_1.5,?
15,?,?,?
20,?,?,Iris-setosa
40,5.1_5.5,?,?
47,5.1_5.5,1.5_1.7,Iris-setosa
50,?,1.0_1.5,Iris-setosa
69,6.1_6.4,4.5_4.8,?
80,5.5_5.8,1.7_4.0,Iris-versicolor
85,5.1_5.5,4.5_4.8,Iris-versicolor
100,5.5_5.8,?,Iris-versicolor
103,6.8_7.979,5.7_6.969,Iris-virginica
104,?,5.2_5.7,Iris-virginica
124,6.1_6.4,?,Iris-virginica
134,6.1_6.4,4.8_5.2,?
143,?,?,Iris-virginica
22,5.1_5.5,?,?
31,?,1.5_1.7,Iris-setosa
37,?,1.0_1.5,Iris-setosa
45,5.1_5.5,?,?
46,4.3_4.9,1.0_1.5,?
58,4.9_5.1,1.7_4.0,?
63,5.8_6.1,?,Iris-versicolor
65,?,1.7_4.0,Iris-versicolor
67,5.5_5.8,4.5_4.8,Iris-versicolor
88,?,?,Iris-versicolor
98,?,4.0_4.5,Iris-versicolor
105,6.4_6.8,?,Iris-virginica
117,6.4_6.8,5.2_5.7,Iris-virginica
129,6.4_6.8,?,?
132,6.8_7.979,5.7_6.969,?
1,?,1.0_1.5,?
3,4.3_4.9,1.0_1.5,?
35,4.9_5.1,?,?
41,4.9_5.1,1.0_1.5,Iris-setosa
55,?,4.5_4.8,?
59,?,4.5_4.8,?
66,6.4_6.8,4.0_4.5,?
86,5.8_6.1,4.5_4.8,Iris-versicolor
94,4.9_5.1,1.7_4.0,Iris-versicolor
113,6.8_7.979,5.2_5.7,?
125,?,5.7_6.969,Iris-virginica
139,5.8_6.1,4.8_5.2,Iris-virginica
145,?,5.7_6.969,?
147,6.1_6.4,?,Iris-virginica
150,5.8_6.1,?,?
