real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
1,5.1_5.5,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
2,4.9_5.1,2.9_3.1,1.0_1.5,0.1_0.3,Iris-setosa
3,4.3_4.9,3.1_3.3,?,0.1_0.3,Iris-setosa
4,4.3_4.9,3.1_3.3,?,0.1_0.3,Iris-setosa
5,4.9_5.1,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
6,5.1_5.5,3.5_4.444000000000001,1.7_4.0,0.3_0.6,Iris-setosa
7,4.3_4.9,3.3_3.5,1.0_1.5,0.3_0.6,Iris-setosa
8,4.9_5.1,3.3_3.5,1.5_1.7,0.1_0.3,Iris-setosa
9,4.3_4.9,2.9_3.1,1.0_1.5,0.1_0.3,Iris-setosa
10,4.9_5.1,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
11,5.1_5.5,3.5_4.444000000000001,1.5_1.7,0.1_0.3,Iris-setosa
12,4.3_4.9,3.3_3.5,1.5_1.7,0.1_0.3,Iris-setosa
13,4.3_4.9,2.9_3.1,1.0_1.5,0.1_0.3,Iris-setosa
14,4.3_4.9,2.9_3.1,1.0_1.5,?,Iris-setosa
15,5.8_6.1,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
16,5.5_5.8,3.5_4.444000000000001,1.5_1.7,0.3_0.6,Iris-setosa
17,5.1_5.5,3.5_4.444000000000001,1.0_1.5,0.3_0.6,Iris-setosa
18,5.1_5.5,3.5_4.444000000000001,1.0_1.5,0.3_0.6,Iris-setosa
19,5.5_5.8,3.5_4.444000000000001,1.7_4.0,0.3_0.6,Iris-setosa
20,?,3.5_4.444000000000001,1.5_1.7,0.3_0.6,Iris-setosa
21,5.1_5.5,3.3_3.5,1.7_4.0,?,Iris-setosa
22,5.1_5.5,3.5_4.444000000000001,1.5_1.7,0.3_0.6,Iris-setosa
23,4.3_4.9,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
24,5.1_5.5,3.3_3.5,1.7_4.0,0.3_0.6,Iris-setosa
25,4.3_4.9,?,1.7_4.0,0.1_0.3,Iris-setosa
26,4.9_5.1,2.9_3.1,1.5_1.7,0.1_0.3,Iris-setosa
27,4.9_5.1,3.3_3.5,1.5_1.7,0.3_0.6,Iris-setosa
28,5.1_5.5,3.5_4.444000000000001,1.5_1.7,0.1_0.3,Iris-setosa
29,5.1_5.5,3.3_3.5,1.0_1.5,0.1_0.3,Iris-setosa
30,4.3_4.9,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
31,4.3_4.9,?,1.5_1.7,0.1_0.3,Iris-setosa
32,5.1_5.5,3.3_3.5,1.5_1.7,0.3_0.6,Iris-setosa
33,5.1_5.5,3.5_4.444000000000001,1.5_1.7,0.1_0.3,Iris-setosa
34,5.5_5.8,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
35,4.9_5.1,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
36,4.9_5.1,3.1_3.3,1.0_1.5,0.1_0.3,Iris-setosa
37,5.5_5.8,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
38,4.9_5.1,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
39,4.3_4.9,2.9_3.1,1.0_1.5,0.1_0.3,Iris-setosa
40,5.1_5.5,3.3_3.5,1.5_1.7,0.1_0.3,?
41,4.9_5.1,3.5_4.444000000000001,1.0_1.5,0.3_0.6,Iris-setosa
42,4.3_4.9,2.0_2.6,1.0_1.5,0.3_0.6,Iris-setosa
43,4.3_4.9,3.1_3.3,1.0_1.5,0.1_0.3,Iris-setosa
44,4.9_5.1,3.5_4.444000000000001,1.5_1.7,0.6_1.3,Iris-setosa
45,5.1_5.5,3.5_4.444000000000001,1.7_4.0,0.3_0.6,Iris-setosa
46,4.3_4.9,2.9_3.1,1.0_1.5,0.3_0.6,Iris-setosa
47,5.1_5.5,3.5_4.444000000000001,1.5_1.7,0.1_0.3,Iris-setosa
48,4.3_4.9,3.1_3.3,?,0.1_0.3,Iris-setosa
49,?,3.5_4.444000000000001,1.5_1.7,0.1_0.3,Iris-setosa
50,4.9_5.1,3.3_3.5,1.0_1.5,?,Iris-setosa
51,6.8_7.979,3.1_3.3,4.5_4.8,1.3_1.5,Iris-versicolor
52,6.4_6.8,3.1_3.3,4.5_4.8,1.5_1.7,Iris-versicolor
53,6.8_7.979,3.1_3.3,4.8_5.2,1.5_1.7,Iris-versicolor
54,5.5_5.8,2.0_2.6,4.0_4.5,1.3_1.5,Iris-versicolor
55,6.4_6.8,2.6_2.9,4.5_4.8,1.5_1.7,Iris-versicolor
56,5.5_5.8,2.6_2.9,4.5_4.8,1.3_1.5,Iris-versicolor
