real,string,string,string
ID,petallength,petalwidth,label
1,1.0_1.5,0.1_0.3,?
2,1.0_1.5,?,Iris-setosa
3,1.0_1.5,0.1_0.3,?
4,1.5_1.7,0.1_0.3,Iris-setosa
5,?,0.1_0.3,?
6,1.7_4.0,0.3_0.6,?
7,1.0_1.5,0.3_0.6,Iris-setosa
8,?,0.1_0.3,Iris-setosa
9,1.0_1.5,0.1_0.3,?
10,1.5_1.7,0.1_0.3,Iris-setosa
11,1.5_1.7,?,Iris-setosa
12,?,0.1_0.3,Iris-setosa
13,1.0_1.5,0.1_0.3,Iris-setosa
14,1.0_1.5,0.1_0.3,?
15,?,?,?
16,1.5_1.7,0.3_0.6,Iris-setosa
17,1.0_1.5,0.3_0.6,Iris-setosa
18,1.0_1.5,0.3_0.6,Iris-setosa
19,?,0.3_0.6,Iris-setosa
20,?,?,Iris-setosa
21,1.7_4.0,?,Iris-setosa
22,?,0.3_0.6,?
23,1.0_1.5,0.1_0.3,Iris-setosa
24,1.7_4.0,0.3_0.6,?
25,?,0.1_0.3,Iris-setosa
26,1.5_1.7,?,?
27,?,0.3_0.6,Iris-setosa
28,1.5_1.7,0.1_0.3,Iris-setosa
29,1.0_1.5,0.1_0.3,?
30,1.5_1.7,0.1_0.3,Iris-setosa
31,1.5_1.7,0.1_0.3,Iris-setosa
32,1.5_1.7,0.3_0.6,Iris-setosa
33,1.5_1.7,0.1_0.3,Iris-setosa
34,?,?,?
35,?,0.1_0.3,?
36,?,?,Iris-setosa
37,1.0_1.5,?,Iris-setosa
38,1.5_1.7,?,Iris-setosa
39,?,?,Iris-setosa
40,?,0.1_0.3,?
41,1.0_1.5,0.3_0.6,Iris-setosa
42,1.0_1.5,?,Iris-setosa
43,1.0_1.5,?,?
44,1.5_1.7,?,?
45,?,0.3_0.6,?
46,1.0_1.5,0.3_0.6,?
47,1.5_1.7,0.1_0.3,Iris-setosa
48,1.0_1.5,0.1_0.3,?
49,?,?,Iris-setosa
50,1.0_1.5,0.1_0.3,Iris-setosa
51,4.5_4.8,1.3_1.5,Iris-versicolor
52,4.5_4.8,?,?
53,?,?,Iris-versicolor
54,4.0_4.5,1.3_1.5,?
55,4.5_4.8,?,?
56,?,1.3_1.5,Iris-versicolor
57,?,1.5_1.7,Iris-versicolor
58,1.7_4.0,0.6_1.3,?
59,4.5_4.8,1.3_1.5,?
60,?,?,Iris-versicolor
61,1.7_4.0,?,Iris-versicolor
62,4.0_4.5,1.5_1.7,?
63,?,0.6_1.3,Iris-versicolor
64,?,1.3_1.5,Iris-versicolor
65,1.7_4.0,1.3_1.5,Iris-versicolor
66,4.0_4.5,1.3_1.5,?
67,4.5_4.8,1.5_1.7,Iris-versicolor
68,4.0_4.5,?,Iris-versicolor
69,4.5_4.8,1.5_1.7,?
70,?,0.6_1.3,Iris-versicolor
71,4.8_5.2,?,Iris-versicolor
72,?,1.3_1.5,Iris-versicolor
73,4.8_5.2,1.5_1.7,?
74,?,?,Iris-versicolor
75,4.0_4.5,?,Iris-versicolor
76,4.0_4.5,1.3_1.5,?
77,4.8_5.2,1.3_1.5,Iris-versicolor
78,4.8_5.2,1.7_2.0,Iris-versicolor
79,4.5_4.8,1.5_1.7,Iris-versicolor
80,1.7_4.0,0.6_1.3,Iris-versicolor
81,1.7_4.0,0.6_1.3,Iris-versicolor
82,1.7_4.0,0.6_1.3,Iris-versicolor
83,1.7_4.0,?,?
84,?,1.5_1.7,Iris-versicolor
85,4.5_4.8,1.5_1.7,Iris-versicolor
86,4.5_4.8,1.5_1.7,Iris-versicolor
87,4.5_4.8,1.5_1.7,Iris-versicolor
88,?,1.3_1.5,Iris-versicolor
89,4.0_4.5,1.3_1.5,Iris-versicolor
90,4.0_4.5,1.3_1.5,Iris-versicolor
91,4.0_4.5,?,Iris-versicolor
92,4.5_4.8,1.3_1.5,Iris-versicolor
93,4.0_4.5,0.6_1.3,?
94,1.7_4.0,0.6_1.3,Iris-versicolor
95,?,?,Iris-versicolor
96,4.0_4.5,0.6_1.3,Iris-versicolor
97,4.0_4.5,1.3_1.5,?
98,4.0_4.5,1.3_1.5,Iris-versicolor
99,1.7_4.0,0.6_1.3,?
100,?,1.3_1.5,Iris-versicolor
101,?,2.0_2.525,?
102,?,?,?
103,5.7_6.969,2.0_2.525,Iris-virginica
104,5.2_5.7,1.7_2.0,Iris-virginica
105,?,2.0_2.525,Iris-virginica
106,?,2.0_2.525,?
107,?,1.7_2.0,Iris-virginica
108,5.7_6.969,?,Iris-virginica
109,5.7_6.969,1.7_2.0,Iris-virginica
110,5.7_6.969,2.0_2.525,Iris-virginica
111,4.8_5.2,2.0_2.525,Iris-virginica
112,5.2_5.7,?,?
113,5.2_5.7,?,?
114,4.8_5.2,2.0_2.525,Iris-virginica
115,?,2.0_2.525,Iris-virginica
116,?,?,?
117,5.2_5.7,?,Iris-virginica
118,?,2.0_2.525,?
119,5.7_6.969,?,Iris-virginica
120,4.8_5.2,1.5_1.7,Iris-virginica
121,5.7_6.969,2.0_2.525,?
122,4.8_5.2,2.0_2.525,?
123,5.7_6.969,2.0_2.525,Iris-virginica
124,?,1.7_2.0,Iris-virginica
125,5.7_6.969,?,Iris-virginica
126,5.7_6.969,?,Iris-virginica
127,4.8_5.2,?,Iris-virginica
128,4.8_5.2,1.7_2.0,Iris-virginica
129,?,2.0_2.525,?
130,5.7_6.969,1.5_1.7,Iris-virginica
131,?,1.7_2.0,Iris-virginica
132,5.7_6.969,?,?
133,5.2_5.7,2.0_2.525,Iris-virginica
134,4.8_5.2,1.5_1.7,?
135,5.2_5.7,1.3_1.5,?
136,5.7_6.969,2.0_2.525,Iris-virginica
137,5.2_5.7,2.0_2.525,Iris-virginica
138,5.2_5.7,1.7_2.0,Iris-virginica
139,4.8_5.2,1.7_2.0,Iris-virginica
140,5.2_5.7,2.0_2.525,?
141,?,2.0_2.525,?
