real,string,string
ID,sepallength,sepalwidth
1,?,3.5_4.444000000000001
2,4.9_5.1,2.9_3.1
3,4.3_4.9,3.1_3.3
4,?,3.1_3.3
5,4.9_5.1,?
6,5.1_5.5,3.5_4.444000000000001
7,?,3.3_3.5
8,4.9_5.1,?
9,4.3_4.9,2.9_3.1
10,?,?
11,5.1_5.5,3.5_4.444000000000001
12,4.3_4.9,3.3_3.5
13,?,?
14,4.3_4.9,2.9_3.1
15,?,?
16,?,?
17,?,3.5_4.444000000000001
18,5.1_5.5,3.5_4.444000000000001
19,5.5_5.8,3.5_4.444000000000001
20,?,3.5_4.444000000000001
21,?,3.3_3.5
22,5.1_5.5,?
23,4.3_4.9,3.5_4.444000000000001
24,?,3.3_3.5
25,?,3.3_3.5
26,4.9_5.1,?
27,4.9_5.1,3.3_3.5
28,5.1_5.5,3.5_4.444000000000001
29,5.1_5.5,3.3_3.5
30,4.3_4.9,?
31,?,3.1_3.3
32,5.1_5.5,3.3_3.5
33,5.1_5.5,?
34,?,3.5_4.444000000000001
35,4.9_5.1,?
36,4.9_5.1,3.1_3.3
37,?,?
38,?,3.1_3.3
39,4.3_4.9,2.9_3.1
40,5.1_5.5,?
41,4.9_5.1,3.5_4.444000000000001
42,4.3_4.9,2.0_2.6
43,?,3.1_3.3
44,?,?
45,5.1_5.5,3.5_4.444000000000001
46,4.3_4.9,2.9_3.1
47,5.1_5.5,?
48,4.3_4.9,3.1_3.3
49,5.1_5.5,3.5_4.444000000000001
50,?,?
51,6.8_7.979,?
52,6.4_6.8,3.1_3.3
53,6.8_7.979,3.1_3.3
54,5.5_5.8,?
55,?,2.6_2.9
56,5.5_5.8,2.6_2.9
57,6.1_6.4,3.3_3.5
58,4.9_5.1,2.0_2.6
59,?,?
60,?,2.6_2.9
61,4.9_5.1,2.0_2.6
62,5.8_6.1,?
63,5.8_6.1,?
64,6.1_6.4,?
65,?,?
66,6.4_6.8,?
67,5.5_5.8,2.9_3.1
68,5.8_6.1,2.6_2.9
69,6.1_6.4,?
70,5.5_5.8,2.0_2.6
71,5.8_6.1,?
72,6.1_6.4,2.6_2.9
73,?,2.0_2.6
74,6.1_6.4,2.6_2.9
75,6.4_6.8,2.9_3.1
76,6.4_6.8,2.9_3.1
77,?,2.6_2.9
78,6.4_6.8,?
79,5.8_6.1,2.9_3.1
80,5.5_5.8,2.6_2.9
81,5.5_5.8,?
82,5.5_5.8,2.0_2.6
83,5.8_6.1,2.6_2.9
84,?,2.6_2.9
85,5.1_5.5,2.9_3.1
86,5.8_6.1,3.3_3.5
87,?,?
88,?,2.0_2.6
89,?,2.9_3.1
90,5.5_5.8,2.0_2.6
91,5.5_5.8,2.6_2.9
92,?,2.9_3.1
93,5.8_6.1,2.6_2.9
94,4.9_5.1,2.0_2.6
95,?,?
96,5.5_5.8,?
97,5.5_5.8,2.9_3.1
98,?,?
99,5.1_5.5,2.0_2.6
100,5.5_5.8,?
101,6.1_6.4,3.3_3.5
102,5.8_6.1,?
103,6.8_7.979,?
104,?,2.9_3.1
105,6.4_6.8,2.9_3.1
106,6.8_7.979,2.9_3.1
107,?,2.0_2.6
108,6.8_7.979,2.9_3.1
109,6.4_6.8,2.0_2.6
110,6.8_7.979,?
111,6.4_6.8,3.1_3.3
112,6.4_6.8,?
113,6.8_7.979,2.9_3.1
114,5.5_5.8,?
115,5.8_6.1,?
116,?,3.1_3.3
117,6.4_6.8,2.9_3.1
118,6.8_7.979,3.5_4.444000000000001
119,?,2.6_2.9
120,?,?
121,?,3.1_3.3
122,5.5_5.8,2.6_2.9
123,?,2.6_2.9
124,6.1_6.4,2.6_2.9
125,?,?
126,6.8_7.979,?
127,?,2.6_2.9
128,6.1_6.4,2.9_3.1
129,6.4_6.8,?
130,6.8_7.979,2.9_3.1
131,6.8_7.979,2.6_2.9
132,6.8_7.979,?
133,?,2.6_2.9
134,6.1_6.4,2.6_2.9
135,6.1_6.4,?
136,6.8_7.979,?
137,?,3.3_3.5
138,6.4_6.8,3.1_3.3
139,5.8_6.1,2.9_3.1
140,?,3.1_3.3
141,6.4_6.8,3.1_3.3
142,6.8_7.979,3.1_3.3
143,?,2.6_2.9
144,6.8_7.979,3.1_3.3
145,?,3.3_3.5
146,?,2.9_3.1
147,6.1_6.4,2.0_2.6
148,6.4_6.8,?
149,?,3.3_3.5
150,5.8_6.1,2.9_3.1
