real,string,string,string
ID,petallength,petalwidth,label
1,1.0_1.5,0.1_0.3,Iris-setosa
2,1.0_1.5,0.1_0.3,Iris-setosa
3,1.0_1.5,0.1_0.3,Iris-setosa
4,1.5_1.7,0.1_0.3,Iris-setosa
5,1.0_1.5,0.1_0.3,Iris-setosa
6,1.7_4.0,0.3_0.6,Iris-setosa
7,1.0_1.5,0.3_0.6,Iris-setosa
8,1.5_1.7,0.1_0.3,Iris-setosa
9,1.0_1.5,0.1_0.3,Iris-setosa
10,1.5_1.7,0.1_0.3,Iris-setosa
11,1.5_1.7,0.1_0.3,Iris-setosa
12,1.5_1.7,0.1_0.3,Iris-setosa
13,1.0_1.5,0.1_0.3,Iris-setosa
14,1.0_1.5,0.1_0.3,Iris-setosa
15,1.0_1.5,0.1_0.3,Iris-setosa
16,1.5_1.7,0.3_0.6,Iris-setosa
17,1.0_1.5,0.3_0.6,Iris-setosa
18,1.0_1.5,0.3_0.6,Iris-setosa
19,1.7_4.0,0.3_0.6,Iris-setosa
20,1.5_1.7,0.3_0.6,Iris-setosa
21,1.7_4.0,0.1_0.3,Iris-setosa
22,1.5_1.7,0.3_0.6,Iris-setosa
23,1.0_1.5,0.1_0.3,Iris-setosa
24,1.7_4.0,0.3_0.6,Iris-setosa
25,1.7_4.0,0.1_0.3,Iris-setosa
26,1.5_1.7,0.1_0.3,Iris-setosa
27,1.5_1.7,0.3_0.6,Iris-setosa
28,1.5_1.7,0.1_0.3,Iris-setosa
29,1.0_1.5,0.1_0.3,Iris-setosa
30,1.5_1.7,0.1_0.3,Iris-setosa
31,1.5_1.7,0.1_0.3,Iris-setosa
32,1.5_1.7,0.3_0.6,Iris-setosa
33,1.5_1.7,0.1_0.3,Iris-setosa
34,1.0_1.5,0.1_0.3,Iris-setosa
35,1.5_1.7,0.1_0.3,Iris-setosa
36,1.0_1.5,0.1_0.3,Iris-setosa
37,1.0_1.5,0.1_0.3,Iris-setosa
38,1.5_1.7,0.1_0.3,Iris-setosa
39,1.0_1.5,0.1_0.3,Iris-setosa
40,1.5_1.7,0.1_0.3,Iris-setosa
41,1.0_1.5,0.3_0.6,Iris-setosa
42,1.0_1.5,0.3_0.6,Iris-setosa
43,1.0_1.5,0.1_0.3,Iris-setosa
44,1.5_1.7,0.6_1.3,Iris-setosa
45,1.7_4.0,0.3_0.6,Iris-setosa
46,1.0_1.5,0.3_0.6,Iris-setosa
47,1.5_1.7,0.1_0.3,Iris-setosa
48,1.0_1.5,0.1_0.3,Iris-setosa
49,1.5_1.7,0.1_0.3,Iris-setosa
50,1.0_1.5,0.1_0.3,Iris-setosa
51,4.5_4.8,1.3_1.5,Iris-versicolor
52,4.5_4.8,1.5_1.7,Iris-versicolor
53,4.8_5.2,1.5_1.7,Iris-versicolor
54,4.0_4.5,1.3_1.5,Iris-versicolor
55,4.5_4.8,1.5_1.7,Iris-versicolor
56,4.5_4.8,1.3_1.5,Iris-versicolor
57,4.5_4.8,1.5_1.7,Iris-versicolor
58,1.7_4.0,0.6_1.3,Iris-versicolor
59,4.5_4.8,1.3_1.5,Iris-versicolor
60,1.7_4.0,1.3_1.5,Iris-versicolor
61,1.7_4.0,0.6_1.3,Iris-versicolor
