string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE
FALSE,HIGH,HIGH,?,HIGH,FALSE,NORMAL,FALSE,HIGH,?,TRUE,?,FALSE,FALSE,?,LOW,?
FALSE,?,?,FALSE,NORMAL,FALSE,?,?,LOW,HIGH,?,HIGH,?,?,LOW,?,?
?,LOW,LOW,?,LOW,TRUE,LOW,FALSE,?,HIGH,?,HIGH,FALSE,?,LOW,?,FALSE
?,NORMAL,NORMAL,FALSE,NORMAL,FALSE,NORMAL,FALSE,HIGH,HIGH,FALSE,?,FALSE,?,NORMAL,LOW,FALSE
?,?,HIGH,TRUE,?,FALSE,LOW,FALSE,HIGH,?,?,HIGH,TRUE,?,?,LOW,FALSE
?,NORMAL,NORMAL,FALSE,?,FALSE,NORMAL,FALSE,HIGH,?,?,?,?,FALSE,LOW,LOW,FALSE
?,NORMAL,NORMAL,FALSE,NORMAL,FALSE,NORMAL,FALSE,?,?,FALSE,LOW,FALSE,FALSE,NORMAL,?,FALSE
TRUE,?,LOW,FALSE,LOW,TRUE,LOW,FALSE,?,?,?,NORMAL,FALSE,FALSE,LOW,?,FALSE
FALSE,NORMAL,NORMAL,?,NORMAL,?,NORMAL,FALSE,HIGH,HIGH,FALSE,HIGH,FALSE,FALSE,NORMAL,LOW,FALSE
FALSE,NORMAL,?,FALSE,?,?,NORMAL,FALSE,HIGH,HIGH,FALSE,HIGH,?,FALSE,NORMAL,LOW,?
FALSE,HIGH,?,FALSE,?,?,NORMAL,TRUE,NORMAL,LOW,FALSE,?,FALSE,FALSE,LOW,LOW,FALSE
FALSE,?,?,?,?,?,?,FALSE,HIGH,HIGH,?,HIGH,FALSE,FALSE,LOW,LOW,?
FALSE,NORMAL,?,FALSE,NORMAL,?,NORMAL,FALSE,HIGH,HIGH,FALSE,HIGH,?,FALSE,LOW,LOW,?
?,?,LOW,TRUE,LOW,TRUE,LOW,?,LOW,HIGH,FALSE,HIGH,TRUE,FALSE,?,LOW,FALSE
FALSE,?,NORMAL,FALSE,?,FALSE,NORMAL,FALSE,HIGH,HIGH,FALSE,HIGH,FALSE,TRUE,LOW,HIGH,FALSE
FALSE,?,?,FALSE,?,FALSE,NORMAL,FALSE,HIGH,HIGH,FALSE,HIGH,FALSE,FALSE,?,LOW,FALSE
TRUE,NORMAL,LOW,?,LOW,TRUE,LOW,?,HIGH,?,?,HIGH,FALSE,?,?,LOW,?
?,NORMAL,HIGH,TRUE,HIGH,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,?,FALSE,FALSE,LOW,LOW,FALSE
FALSE,NORMAL,NORMAL,FALSE,?,FALSE,?,?,?,HIGH,?,HIGH,FALSE,?,HIGH,LOW,FALSE
FALSE,NORMAL,NORMAL,FALSE,NORMAL,?,NORMAL,?,?,HIGH,?,HIGH,FALSE,FALSE,?,?,?
FALSE,NORMAL,NORMAL,FALSE,NORMAL,FALSE,NORMAL,FALSE,HIGH,?,FALSE,?,FALSE,?,?,NORMAL,FALSE
FALSE,HIGH,HIGH,TRUE,HIGH,?,NORMAL,FALSE,HIGH,?,?,HIGH,?,?,HIGH,LOW,?
FALSE,HIGH,HIGH,TRUE,?,FALSE,NORMAL,FALSE,?,LOW,FALSE,LOW,FALSE,?,HIGH,LOW,TRUE
?,?,?,?,NORMAL,FALSE,NORMAL,FALSE,LOW,LOW,FALSE,LOW,FALSE,?,HIGH,?,FALSE
FALSE,HIGH,HIGH,TRUE,HIGH,FALSE,?,FALSE,HIGH,HIGH,FALSE,HIGH,?,?,LOW,?,?
?,NORMAL,NORMAL,?,?,FALSE,NORMAL,?,?,NORMAL,?,?,FALSE,FALSE,?,LOW,FALSE
FALSE,NORMAL,?,FALSE,NORMAL,FALSE,NORMAL,?,LOW,LOW,?,HIGH,FALSE,FALSE,HIGH,LOW,?
FALSE,?,?,FALSE,NORMAL,FALSE,NORMAL,FALSE,LOW,LOW,FALSE,?,?,FALSE,HIGH,LOW,FALSE
?,NORMAL,?,FALSE,?,?,?,FALSE,HIGH,?,?,?,FALSE,FALSE,LOW,LOW,FALSE
FALSE,LOW,NORMAL,FALSE,?,FALSE,LOW,FALSE,HIGH,?,?,HIGH,FALSE,FALSE,NORMAL,LOW,FALSE
FALSE,NORMAL,NORMAL,FALSE,NORMAL,FALSE,NORMAL,?,HIGH,?,?,HIGH,?,FALSE,LOW,LOW,?
FALSE,HIGH,HIGH,?,HIGH,FALSE,NORMAL,?,?,LOW,?,LOW,FALSE,?,LOW,?,?
FALSE,?,?,FALSE,NORMAL,FALSE,NORMAL,?,HIGH,?,?,?,?,FALSE,NORMAL,LOW,?
FALSE,NORMAL,NORMAL,FALSE,?,?,NORMAL,FALSE,?,HIGH,FALSE,HIGH,?,?,NORMAL,LOW,?
?,?,?,FALSE,NORMAL,FALSE,NORMAL,?,LOW,?,FALSE,?,?,FALSE,LOW,?,?
FALSE,HIGH,HIGH,TRUE,?,FALSE,LOW,?,HIGH,HIGH,FALSE,?,FALSE,FALSE,?,?,?
