number,number,number,number,string
petalwidth,sepallength,sepalwidth,petallength,label
2.0,7.2,3.8,5.5,Iris-virginica
1.5,6.2,2.3,4.0,Iris-versicolor
1.5,5.7,2.8,5.1,Iris-virginica
2.3,6.1,2.9,6.1,Iris-virginica
0.2,4.6,3.4,1.3,Iris-setosa
1.8,6.1,3.0,5.0,Iris-virginica
1.0,5.8,2.5,4.5,Iris-versicolor
1.5,5.6,2.7,5.0,Iris-versicolor
1.0,5.5,2.4,4.4,Iris-versicolor
1.5,5.7,3.0,4.4,Iris-versicolor
1.3,5.6,2.6,3.9,Iris-versicolor
1.5,6.4,2.5,5.1,Iris-versicolor
1.0,5.8,3.0,4.0,Iris-versicolor
2.3,6.8,3.2,5.8,Iris-virginica
2.1,7.2,2.9,5.9,Iris-virginica
1.5,6.7,3.0,4.8,Iris-versicolor
0.4,5.4,3.5,1.5,Iris-setosa
0.2,5.1,3.7,1.5,Iris-setosa
1.3,5.6,2.3,4.4,Iris-versicolor
1.5,5.9,2.9,3.9,Iris-versicolor
0.1,4.4,4.0,1.3,Iris-setosa
1.8,6.8,2.0,3.3,Iris-versicolor
1.3,6.8,3.1,3.5,Iris-versicolor
2.0,7.4,2.7,5.1,Iris-virginica
1.0,5.9,2.6,4.5,Iris-versicolor
0.2,5.2,3.0,1.5,Iris-setosa
0.2,4.6,3.3,1.3,Iris-setosa
2.5,7.6,2.5,5.1,Iris-virginica
1.3,7.0,2.3,4.1,Iris-versicolor
0.1,5.0,3.3,1.4,Iris-setosa
2.1,6.1,3.0,6.3,Iris-virginica
1.2,6.2,2.4,4.1,Iris-versicolor
0.2,5.0,3.5,1.5,Iris-setosa
0.2,5.4,3.1,1.4,Iris-setosa
1.0,6.1,2.5,3.7,Iris-versicolor
2.2,7.6,3.0,5.1,Iris-virginica
1.8,6.4,2.5,5.4,Iris-virginica
0.6,4.4,3.4,1.9,Iris-setosa
2.1,7.4,2.8,5.2,Iris-virginica
0.2,5.4,3.1,1.3,Iris-setosa
2.0,6.3,2.9,5.0,Iris-virginica
0.2,5.7,3.2,1.5,Iris-setosa
2.1,7.4,2.8,5.8,Iris-virginica
0.2,5.1,3.0,1.4,Iris-setosa
1.0,6.6,2.4,4.5,Iris-versicolor
1.5,5.7,2.6,4.0,Iris-versicolor
0.3,4.8,3.9,1.5,Iris-setosa
2.0,6.5,3.0,4.8,Iris-virginica
1.3,5.6,2.6,3.9,Iris-versicolor
2.1,6.9,3.8,5.8,Iris-virginica
2.1,6.7,3.0,5.7,Iris-virginica
1.4,6.1,2.7,4.6,Iris-versicolor
1.2,5.1,3.0,4.2,Iris-versicolor
1.4,5.4,3.0,4.0,Iris-versicolor
0.1,4.9,3.7,1.4,Iris-setosa
0.1,5.0,3.5,1.5,Iris-setosa
0.2,4.8,3.0,1.5,Iris-setosa
0.2,5.1,3.6,1.7,Iris-setosa
1.0,5.6,2.9,4.5,Iris-versicolor
1.3,6.7,2.9,5.0,Iris-versicolor
1.3,5.7,3.0,4.5,Iris-versicolor
1.8,5.6,3.0,4.3,Iris-versicolor
1.2,6.5,2.3,3.9,Iris-versicolor
1.4,6.0,2.3,3.5,Iris-versicolor
1.2,5.5,2.6,4.4,Iris-versicolor
0.2,4.8,3.4,1.6,Iris-setosa
2.5,5.6,3.0,6.3,Iris-virginica
2.1,6.7,2.5,5.0,Iris-virginica
1.2,5.4,2.7,3.9,Iris-versicolor
1.5,5.5,2.6,3.6,Iris-versicolor
1.8,6.0,2.2,6.9,Iris-virginica
0.2,4.9,3.4,1.5,Iris-setosa
1.4,5.7,2.8,5.1,Iris-versicolor
1.8,5.5,3.0,4.4,Iris-versicolor
2.1,5.9,3.2,6.7,Iris-virginica
1.0,6.1,3.0,3.5,Iris-versicolor
0.1,4.6,3.0,1.5,Iris-setosa
1.4,6.0,3.0,5.0,Iris-virginica
