real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
1,5.1,3.5,1.4,0.2,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa
10,4.9,3.1,1.5,0.1,Iris-setosa
22,5.1,3.7,1.5,0.4,Iris-setosa
29,5.2,3.4,1.4,0.2,Iris-setosa
39,4.4,3.0,1.3,0.2,Iris-setosa
40,5.1,3.4,1.5,0.2,Iris-setosa
58,4.9,2.4,3.3,1.0,Iris-versicolor
72,6.1,2.8,4.0,1.3,Iris-versicolor
73,6.3,2.5,4.9,1.5,Iris-versicolor
75,6.4,2.9,4.3,1.3,Iris-versicolor
86,6.0,3.4,4.5,1.6,Iris-versicolor
87,6.7,3.1,4.7,1.5,Iris-versicolor
91,5.5,2.6,4.4,1.2,Iris-versicolor
