sepallength,sepalwidth,petallength,petalwidth,label
4.4,2.9,1.4,0.2,Iris-setosa
5.1,3.8,1.5,0.3,Iris-setosa
5.0,3.4,1.6,0.4,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa
5.1,3.8,1.9,0.4,Iris-setosa
4.8,3.0,1.4,0.3,Iris-setosa
5.5,2.4,3.8,1.1,Iris-versicolor
5.4,3.0,4.5,1.5,Iris-versicolor
5.0,2.3,3.3,1.0,Iris-versicolor
5.1,2.5,3.0,1.1,Iris-versicolor
5.7,2.8,4.1,1.3,Iris-versicolor
6.5,3.0,5.8,2.2,Iris-virginica
6.4,2.7,5.3,1.9,Iris-virginica
6.9,3.1,5.4,2.1,Iris-virginica
6.7,3.3,5.7,2.5,Iris-virginica
