number,number,number,number,number,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
5,5.0,3.6,1.4,0.2,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa
13,4.8,3.0,1.4,0.1,Iris-setosa
15,5.8,4.0,1.2,0.2,Iris-setosa
23,4.6,3.6,1.0,0.2,Iris-setosa
59,6.6,2.9,4.6,1.3,Iris-versicolor
77,6.8,2.8,4.8,1.4,Iris-versicolor
84,6.0,2.7,5.1,1.6,Iris-versicolor
120,6.0,2.2,5.0,1.5,Iris-virginica
122,5.6,2.8,4.9,2.0,Iris-virginica
131,7.4,2.8,6.1,1.9,Iris-virginica
134,6.3,2.8,5.1,1.5,Iris-virginica
140,6.9,3.1,5.4,2.1,Iris-virginica
147,6.3,2.5,5.0,1.9,Iris-virginica
150,5.9,3.0,5.1,1.8,Iris-virginica
