real,real,real
ID,sepalwidth,petalwidth
9,2.9,0.2
20,3.8,0.3
27,3.4,0.4
33,4.1,0.1
45,3.8,0.4
46,3.0,0.3
81,2.4,1.1
85,3.0,1.5
94,2.3,1.0
99,2.5,1.1
100,2.8,1.3
105,3.0,2.2
112,2.7,1.9
140,3.1,2.1
145,3.3,2.5
4,3.1,0.2
11,3.7,0.2
18,3.5,0.3
21,3.4,0.2
35,3.1,0.1
37,3.5,0.2
38,3.1,0.1
64,2.9,1.4
76,3.0,1.4
119,2.6,2.3
130,3.0,1.6
131,2.8,1.9
136,3.0,2.3
144,3.2,2.3
146,3.0,2.3
30,3.2,0.2
31,3.1,0.2
42,2.3,0.3
69,2.2,1.5
92,3.0,1.4
98,2.9,1.3
108,2.9,1.8
111,3.2,2.0
127,2.8,1.8
133,2.8,2.2
135,2.6,1.4
147,2.5,1.9
148,3.0,2.0
149,3.4,2.3
150,3.0,1.8
12,3.4,0.2
19,3.8,0.3
41,3.5,0.3
49,3.7,0.2
65,2.9,1.3
67,3.0,1.5
90,2.5,1.3
96,3.0,1.2
97,2.9,1.3
102,2.7,1.9
109,2.5,1.8
115,2.8,2.4
123,2.8,2.0
128,3.0,1.8
132,3.8,2.0
1,3.5,0.2
3,3.2,0.2
6,3.9,0.4
10,3.1,0.1
22,3.7,0.4
29,3.4,0.2
39,3.0,0.2
40,3.4,0.2
58,2.4,1.0
72,2.8,1.3
73,2.5,1.5
75,2.9,1.3
86,3.4,1.6
87,3.1,1.5
91,2.6,1.2
2,3.0,0.2
7,3.4,0.3
14,3.0,0.1
15,4.0,0.2
28,3.5,0.2
48,3.2,0.2
71,3.2,1.8
78,3.0,1.7
83,2.7,1.2
95,2.7,1.3
104,2.9,1.8
107,2.5,1.7
118,3.8,2.2
121,3.2,2.3
124,2.7,1.8
8,3.4,0.2
13,3.0,0.1
36,3.2,0.2
56,2.8,1.3
68,2.7,1.0
70,2.5,1.1
79,2.9,1.5
80,2.6,1.0
89,3.0,1.3
110,3.6,2.5
113,3.0,2.1
117,3.0,1.8
122,2.8,2.0
126,3.2,1.8
129,2.8,2.1
16,4.4,0.4
17,3.9,0.4
23,3.6,0.2
24,3.3,0.5
26,3.0,0.2
32,3.4,0.4
51,3.2,1.4
53,3.1,1.5
55,2.8,1.5
59,2.9,1.3
60,2.7,1.4
61,2.0,1.0
63,2.2,1.0
74,2.8,1.2
93,2.6,1.2
5,3.6,0.2
44,3.5,0.6
50,3.3,0.2
54,2.3,1.3
57,3.3,1.6
62,3.0,1.5
66,3.1,1.4
77,2.8,1.4
103,3.0,2.1
114,2.5,2.0
125,3.3,2.1
134,2.8,1.5
137,3.4,2.4
138,3.1,1.8
141,3.1,2.4
