number,number,number
ID,sepalwidth,petalwidth
8,3.4,0.2
22,3.7,0.4
38,3.1,0.1
43,3.2,0.2
60,2.7,1.4
62,3.0,1.5
68,2.7,1.0
91,2.6,1.2
95,2.7,1.3
98,2.9,1.3
101,3.3,2.5
105,3.0,2.2
112,2.7,1.9
113,3.0,2.1
126,3.2,1.8
1,3.5,0.2
10,3.1,0.1
27,3.4,0.4
50,3.3,0.2
55,2.8,1.5
64,2.9,1.4
65,2.9,1.3
80,2.6,1.0
86,3.4,1.6
90,2.5,1.3
92,3.0,1.4
94,2.3,1.0
97,2.9,1.3
99,2.5,1.1
106,3.0,2.1
37,3.5,0.2
40,3.4,0.2
44,3.5,0.6
51,3.2,1.4
67,3.0,1.5
93,2.6,1.2
103,3.0,2.1
108,2.9,1.8
119,2.6,2.3
121,3.2,2.3
123,2.8,2.0
135,2.6,1.4
138,3.1,1.8
139,3.0,1.8
141,3.1,2.4
9,2.9,0.2
45,3.8,0.4
53,3.1,1.5
66,3.1,1.4
81,2.4,1.1
82,2.4,1.0
96,3.0,1.2
116,3.2,2.3
118,3.8,2.2
129,2.8,2.1
132,3.8,2.0
137,3.4,2.4
143,2.7,1.9
145,3.3,2.5
148,3.0,2.0
5,3.6,0.2
6,3.9,0.4
13,3.0,0.1
15,4.0,0.2
23,3.6,0.2
59,2.9,1.3
77,2.8,1.4
84,2.7,1.6
120,2.2,1.5
122,2.8,2.0
131,2.8,1.9
134,2.8,1.5
140,3.1,2.1
147,2.5,1.9
150,3.0,1.8
3,3.2,0.2
12,3.4,0.2
17,3.9,0.4
25,3.4,0.2
28,3.5,0.2
32,3.4,0.4
39,3.0,0.2
42,2.3,0.3
54,2.3,1.3
56,2.8,1.3
74,2.8,1.2
89,3.0,1.3
117,3.0,1.8
127,2.8,1.8
130,3.0,1.6
24,3.3,0.5
30,3.2,0.2
35,3.1,0.1
69,2.2,1.5
70,2.5,1.1
71,3.2,1.8
75,2.9,1.3
83,2.7,1.2
87,3.1,1.5
100,2.8,1.3
109,2.5,1.8
110,3.6,2.5
125,3.3,2.1
128,3.0,1.8
133,2.8,2.2
4,3.1,0.2
11,3.7,0.2
16,4.4,0.4
26,3.0,0.2
31,3.1,0.2
33,4.1,0.1
34,4.2,0.2
36,3.2,0.2
46,3.0,0.3
48,3.2,0.2
49,3.7,0.2
52,3.2,1.5
63,2.2,1.0
85,3.0,1.5
111,3.2,2.0
2,3.0,0.2
7,3.4,0.3
19,3.8,0.3
29,3.4,0.2
58,2.4,1.0
61,2.0,1.0
72,2.8,1.3
76,3.0,1.4
78,3.0,1.7
79,2.9,1.5
88,2.3,1.3
102,2.7,1.9
104,2.9,1.8
114,2.5,2.0
115,2.8,2.4
