number,number,number,string
ID,sepallength,petallength,label
8,5.0,1.5,Iris-setosa
22,5.1,1.5,Iris-setosa
38,4.9,1.5,Iris-setosa
43,4.4,1.3,Iris-setosa
60,5.2,3.9,Iris-versicolor
62,5.9,4.2,Iris-versicolor
68,5.8,4.1,Iris-versicolor
91,5.5,4.4,Iris-versicolor
95,5.6,4.2,Iris-versicolor
98,6.2,4.3,Iris-versicolor
101,6.3,6.0,Iris-virginica
105,6.5,5.8,Iris-virginica
112,6.4,5.3,Iris-virginica
113,6.8,5.5,Iris-virginica
126,7.2,6.0,Iris-virginica
1,5.1,1.4,Iris-setosa
10,4.9,1.5,Iris-setosa
27,5.0,1.6,Iris-setosa
50,5.0,1.4,Iris-setosa
55,6.5,4.6,Iris-versicolor
64,6.1,4.7,Iris-versicolor
65,5.6,3.6,Iris-versicolor
80,5.7,3.5,Iris-versicolor
86,6.0,4.5,Iris-versicolor
90,5.5,4.0,Iris-versicolor
92,6.1,4.6,Iris-versicolor
94,5.0,3.3,Iris-versicolor
97,5.7,4.2,Iris-versicolor
99,5.1,3.0,Iris-versicolor
106,7.6,6.6,Iris-virginica
9,4.4,1.4,Iris-setosa
45,5.1,1.9,Iris-setosa
53,6.9,4.9,Iris-versicolor
66,6.7,4.4,Iris-versicolor
81,5.5,3.8,Iris-versicolor
82,5.5,3.7,Iris-versicolor
96,5.7,4.2,Iris-versicolor
116,6.4,5.3,Iris-virginica
118,7.7,6.7,Iris-virginica
129,6.4,5.6,Iris-virginica
132,7.9,6.4,Iris-virginica
137,6.3,5.6,Iris-virginica
143,5.8,5.1,Iris-virginica
145,6.7,5.7,Iris-virginica
148,6.5,5.2,Iris-virginica
5,5.0,1.4,Iris-setosa
6,5.4,1.7,Iris-setosa
13,4.8,1.4,Iris-setosa
15,5.8,1.2,Iris-setosa
23,4.6,1.0,Iris-setosa
59,6.6,4.6,Iris-versicolor
77,6.8,4.8,Iris-versicolor
84,6.0,5.1,Iris-versicolor
120,6.0,5.0,Iris-virginica
122,5.6,4.9,Iris-virginica
131,7.4,6.1,Iris-virginica
134,6.3,5.1,Iris-virginica
140,6.9,5.4,Iris-virginica
147,6.3,5.0,Iris-virginica
150,5.9,5.1,Iris-virginica
3,4.7,1.3,Iris-setosa
12,4.8,1.6,Iris-setosa
17,5.4,1.3,Iris-setosa
25,4.8,1.9,Iris-setosa
28,5.2,1.5,Iris-setosa
32,5.4,1.5,Iris-setosa
39,4.4,1.3,Iris-setosa
42,4.5,1.3,Iris-setosa
54,5.5,4.0,Iris-versicolor
56,5.7,4.5,Iris-versicolor
74,6.1,4.7,Iris-versicolor
89,5.6,4.1,Iris-versicolor
117,6.5,5.5,Iris-virginica
127,6.2,4.8,Iris-virginica
130,7.2,5.8,Iris-virginica
24,5.1,1.7,Iris-setosa
30,4.7,1.6,Iris-setosa
35,4.9,1.5,Iris-setosa
69,6.2,4.5,Iris-versicolor
70,5.6,3.9,Iris-versicolor
71,5.9,4.8,Iris-versicolor
75,6.4,4.3,Iris-versicolor
83,5.8,3.9,Iris-versicolor
87,6.7,4.7,Iris-versicolor
100,5.7,4.1,Iris-versicolor
109,6.7,5.8,Iris-virginica
110,7.2,6.1,Iris-virginica
125,6.7,5.7,Iris-virginica
128,6.1,4.9,Iris-virginica
133,6.4,5.6,Iris-virginica
4,4.6,1.5,Iris-setosa
11,5.4,1.5,Iris-setosa
16,5.7,1.5,Iris-setosa
26,5.0,1.6,Iris-setosa
31,4.8,1.6,Iris-setosa
33,5.2,1.5,Iris-setosa
34,5.5,1.4,Iris-setosa
36,5.0,1.2,Iris-setosa
46,4.8,1.4,Iris-setosa
48,4.6,1.4,Iris-setosa
49,5.3,1.5,Iris-setosa
52,6.4,4.5,Iris-versicolor
63,6.0,4.0,Iris-versicolor
85,5.4,4.5,Iris-versicolor
111,6.5,5.1,Iris-virginica
2,4.9,1.4,Iris-setosa
7,4.6,1.4,Iris-setosa
19,5.7,1.7,Iris-setosa
29,5.2,1.4,Iris-setosa
58,4.9,3.3,Iris-versicolor
61,5.0,3.5,Iris-versicolor
72,6.1,4.0,Iris-versicolor
76,6.6,4.4,Iris-versicolor
78,6.7,5.0,Iris-versicolor
79,6.0,4.5,Iris-versicolor
88,6.3,4.4,Iris-versicolor
102,5.8,5.1,Iris-virginica
104,6.3,5.6,Iris-virginica
114,5.7,5.0,Iris-virginica
115,5.8,5.1,Iris-virginica
14,4.3,1.1,Iris-setosa
18,5.1,1.4,Iris-setosa
20,5.1,1.5,Iris-setosa
21,5.4,1.7,Iris-setosa
41,5.0,1.3,Iris-setosa
47,5.1,1.6,Iris-setosa
57,6.3,4.7,Iris-versicolor
73,6.3,4.9,Iris-versicolor
107,4.9,4.5,Iris-virginica
124,6.3,4.9,Iris-virginica
136,7.7,6.1,Iris-virginica
142,6.9,5.1,Iris-virginica
144,6.8,5.9,Iris-virginica
146,6.7,5.2,Iris-virginica
149,6.2,5.4,Iris-virginica
