sepallength,sepalwidth,petallength,petalwidth,label
5.0,3.0,1.6,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
4.6,3.2,1.4,0.2,Iris-setosa
5.7,2.8,4.1,1.3,Iris-versicolor
6.5,3.2,5.1,2.0,Iris-virginica
7.9,3.8,6.4,2.0,Iris-virginica
6.1,2.6,5.6,1.4,Iris-virginica
6.0,3.0,4.8,1.8,Iris-virginica
6.7,3.1,5.6,2.4,Iris-virginica
6.9,3.1,5.1,2.3,Iris-virginica
6.7,3.3,5.7,2.5,Iris-virginica
6.7,?,5.2,2.3,Iris-virginica
6.3,2.5,5.0,1.9,Iris-virginica
6.2,3.4,5.4,2.3,Iris-virginica
5.9,3.0,5.1,1.8,Iris-virginica
