real,real,real
ID,sepalwidth,petalwidth
11,3.7,0.2
31,3.1,0.2
33,4.1,?
70,2.5,1.1
84,2.7,1.6
85,3.0,1.5
98,2.9,1.3
101,3.3,2.5
103,?,2.1
106,3.0,2.1
118,3.8,2.2
137,3.4,2.4
138,3.1,1.8
143,2.7,1.9
144,3.2,2.3
26,3.0,0.2
35,3.1,0.1
48,3.2,0.2
100,2.8,1.3
111,3.2,2.0
132,3.8,2.0
135,2.6,1.4
139,3.0,1.8
141,3.1,2.4
142,3.1,2.3
145,3.3,2.5
146,?,2.3
147,2.5,1.9
149,3.4,2.3
150,3.0,1.8
7,3.4,0.3
9,2.9,0.2
29,3.4,0.2
45,3.8,0.4
62,3.0,1.5
63,2.2,1.0
89,3.0,1.3
107,2.5,1.7
114,2.5,2.0
115,2.8,2.4
116,3.2,2.3
127,2.8,1.8
128,3.0,1.8
140,3.1,2.1
148,3.0,2.0
5,3.6,0.2
10,3.1,0.1
12,?,0.2
16,4.4,0.4
21,3.4,0.2
32,3.4,0.4
43,3.2,0.2
58,2.4,1.0
65,2.9,1.3
69,2.2,1.5
71,3.2,1.8
73,2.5,1.5
75,2.9,1.3
90,2.5,1.3
99,2.5,1.1
8,3.4,0.2
17,3.9,?
20,3.8,0.3
28,3.5,0.2
34,4.2,0.2
37,?,?
40,3.4,0.2
55,2.8,1.5
56,2.8,1.3
66,3.1,1.4
67,3.0,1.5
68,2.7,1.0
74,2.8,1.2
77,2.8,1.4
81,2.4,1.1
38,3.1,0.1
39,?,0.2
42,?,0.3
46,3.0,0.3
53,3.1,1.5
80,2.6,1.0
82,2.4,1.0
88,2.3,1.3
97,2.9,1.3
102,2.7,1.9
123,2.8,2.0
129,2.8,2.1
133,2.8,2.2
134,2.8,1.5
136,3.0,2.3
19,3.8,0.3
30,?,0.2
36,3.2,0.2
49,3.7,0.2
78,3.0,1.7
87,3.1,?
95,2.7,1.3
104,2.9,?
105,3.0,2.2
108,2.9,1.8
109,2.5,1.8
117,3.0,1.8
124,2.7,1.8
126,3.2,1.8
130,3.0,1.6
1,3.5,0.2
4,3.1,0.2
22,3.7,0.4
25,3.4,0.2
27,3.4,0.4
41,?,0.3
52,3.2,1.5
57,3.3,1.6
60,2.7,1.4
79,?,1.5
91,2.6,1.2
92,?,1.4
93,2.6,1.2
110,3.6,2.5
131,2.8,1.9
3,3.2,0.2
6,3.9,0.4
15,4.0,0.2
18,3.5,0.3
44,3.5,0.6
50,3.3,0.2
61,?,1.0
64,2.9,?
72,2.8,1.3
76,3.0,1.4
83,2.7,1.2
86,3.4,1.6
120,2.2,1.5
121,3.2,2.3
122,2.8,2.0
