real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
1,5.1,3.5,1.4,0.2,Iris-setosa
21,5.4,3.4,1.7,0.2,Iris-setosa
25,4.8,3.4,1.9,0.2,Iris-setosa
44,5.0,3.5,1.6,0.6,Iris-setosa
50,5.0,3.3,1.4,0.2,Iris-setosa
54,5.5,2.3,4.0,1.3,Iris-versicolor
62,5.9,3.0,4.2,1.5,?
63,6.0,2.2,4.0,1.0,Iris-versicolor
66,6.7,3.1,4.4,1.4,Iris-versicolor
70,5.6,2.5,3.9,1.1,Iris-versicolor
71,5.9,3.2,4.8,?,Iris-versicolor
77,6.8,2.8,4.8,1.4,Iris-versicolor
78,6.7,?,5.0,?,Iris-versicolor
101,6.3,3.3,6.0,2.5,Iris-virginica
107,4.9,?,4.5,1.7,?
