real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
7,4.6,3.4,1.4,0.3,Iris-setosa
9,4.4,2.9,1.4,0.2,Iris-setosa
10,4.9,3.1,1.5,0.1,Iris-setosa
25,4.8,3.4,1.9,0.2,Iris-setosa
36,5.0,3.2,1.2,0.2,Iris-setosa
38,4.9,3.1,1.5,0.1,Iris-setosa
49,5.3,3.7,1.5,0.2,Iris-setosa
56,5.7,?,?,1.3,Iris-versicolor
65,5.6,2.9,3.6,1.3,Iris-versicolor
73,6.3,2.5,?,1.5,Iris-versicolor
77,6.8,2.8,4.8,1.4,Iris-versicolor
84,6.0,2.7,5.1,1.6,Iris-versicolor
90,5.5,2.5,4.0,?,Iris-versicolor
99,5.1,2.5,3.0,1.1,Iris-versicolor
100,5.7,2.8,4.1,1.3,Iris-versicolor
