sepallength,sepalwidth,petallength,petalwidth,label
5.0,3.4,1.5,0.2,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa
5.8,4.0,1.2,0.2,Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa
5.5,?,4.0,1.3,Iris-versicolor
6.5,2.8,4.6,1.5,Iris-versicolor
6.3,3.3,4.7,1.6,Iris-versicolor
5.7,2.6,3.5,1.0,Iris-versicolor
5.5,2.4,3.7,1.0,Iris-versicolor
5.7,3.0,4.2,1.2,Iris-versicolor
6.5,3.0,5.8,2.2,Iris-virginica
?2.8,4.9,2.0,Iris-virginica
6.2,2.8,4.8,?,Iris-virginica
6.1,3.0,4.9,1.8,Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica
