number,number,number,number,number,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
9,4.4,2.9,?,0.2,Iris-setosa
10,4.9,3.1,1.5,0.1,Iris-setosa
34,5.5,4.2,1.4,0.2,Iris-setosa
35,4.9,3.1,1.5,0.1,Iris-setosa
44,5.0,3.5,1.6,0.6,Iris-setosa
68,5.8,?,4.1,1.0,Iris-versicolor
94,5.0,2.3,3.3,?,Iris-versicolor
100,5.7,2.8,4.1,1.3,Iris-versicolor
113,6.8,3.0,5.5,2.1,Iris-virginica
120,6.0,2.2,5.0,1.5,Iris-virginica
127,6.2,2.8,4.8,1.8,Iris-virginica
137,?,3.4,5.6,2.4,Iris-virginica
140,6.9,3.1,5.4,2.1,Iris-virginica
148,?,3.0,5.2,2.0,Iris-virginica
150,5.9,3.0,5.1,1.8,Iris-virginica
