real,real,real
ID,sepalwidth,petalwidth
2,3.0,0.2
13,?,0.1
21,3.4,0.2
24,3.3,0.5
27,3.4,0.4
37,3.5,0.2
39,?,0.2
56,2.8,1.3
64,?,1.4
68,?,1.0
69,2.2,1.5
77,2.8,1.4
82,2.4,1.0
88,2.3,1.3
94,2.3,1.0
25,3.4,0.2
36,3.2,0.2
46,3.0,0.3
48,3.2,0.2
60,?,1.4
62,3.0,1.5
67,3.0,1.5
71,3.2,1.8
76,3.0,1.4
106,3.0,2.1
112,2.7,1.9
127,2.8,1.8
131,?,1.9
136,3.0,2.3
147,2.5,1.9
5,3.6,0.2
20,3.8,0.3
22,3.7,0.4
30,3.2,0.2
31,3.1,0.2
40,3.4,0.2
45,?,0.4
50,3.3,0.2
53,3.1,1.5
85,3.0,1.5
91,2.6,1.2
102,?,1.9
120,2.2,1.5
123,2.8,2.0
128,3.0,1.8
6,3.9,0.4
15,4.0,0.2
16,4.4,0.4
18,3.5,0.3
29,3.4,0.2
34,4.2,0.2
38,3.1,0.1
79,2.9,1.5
86,3.4,1.6
93,2.6,1.2
99,2.5,1.1
103,3.0,2.1
134,2.8,1.5
140,3.1,2.1
144,3.2,2.3
1,3.5,0.2
14,3.0,0.1
44,3.5,0.6
57,3.3,1.6
73,2.5,1.5
75,2.9,1.3
78,?,1.7
101,3.3,2.5
104,2.9,1.8
124,2.7,1.8
139,3.0,1.8
141,3.1,2.4
145,3.3,2.5
146,3.0,2.3
148,3.0,2.0
3,3.2,0.2
19,3.8,0.3
35,3.1,0.1
61,2.0,1.0
81,2.4,1.1
87,3.1,?
89,3.0,1.3
105,3.0,2.2
107,2.5,?
115,2.8,2.4
135,2.6,1.4
142,3.1,2.3
143,2.7,1.9
149,3.4,2.3
150,3.0,1.8
4,3.1,0.2
9,2.9,0.2
10,3.1,0.1
33,4.1,0.1
51,3.2,1.4
63,2.2,1.0
70,2.5,1.1
72,2.8,1.3
74,2.8,1.2
80,2.6,1.0
109,2.5,1.8
129,2.8,2.1
132,3.8,?
133,2.8,2.2
138,3.1,1.8
7,3.4,0.3
17,3.9,0.4
32,3.4,0.4
47,?,0.2
54,2.3,1.3
55,2.8,1.5
58,2.4,1.0
59,2.9,1.3
65,2.9,1.3
83,?,1.2
90,2.5,1.3
95,?,?
96,3.0,1.2
98,2.9,1.3
108,2.9,1.8
11,3.7,0.2
12,3.4,0.2
42,2.3,0.3
43,3.2,?
49,3.7,0.2
92,?,1.4
100,2.8,1.3
111,3.2,2.0
113,3.0,2.1
117,3.0,1.8
119,2.6,2.3
121,3.2,2.3
125,3.3,?
126,3.2,1.8
130,3.0,1.6
