real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
1,5.1,3.5,1.4,?,Iris-setosa
2,4.9,3.0,?,0.2,Iris-setosa
3,?,3.2,?,0.2,Iris-setosa
4,4.6,3.1,?,0.2,Iris-setosa
5,?,?,1.4,?,Iris-setosa
6,?,?,1.7,0.4,?
7,4.6,3.4,1.4,0.3,Iris-setosa
8,5.0,3.4,1.5,?,Iris-setosa
9,4.4,?,1.4,?,?
10,4.9,?,?,?,?
11,5.4,?,?,0.2,?
12,4.8,3.4,1.6,0.2,Iris-setosa
13,?,3.0,1.4,0.1,Iris-setosa
14,4.3,3.0,1.1,?,Iris-setosa
15,5.8,4.0,1.2,0.2,Iris-setosa
16,5.7,?,1.5,0.4,?
17,5.4,?,1.3,?,?
18,5.1,3.5,1.4,0.3,?
19,5.7,3.8,1.7,0.3,Iris-setosa
20,5.1,3.8,?,0.3,Iris-setosa
21,5.4,3.4,1.7,0.2,Iris-setosa
22,5.1,3.7,1.5,0.4,?
23,4.6,3.6,?,0.2,Iris-setosa
24,5.1,3.3,?,0.5,Iris-setosa
25,4.8,3.4,1.9,0.2,Iris-setosa
26,5.0,?,?,?,?
27,5.0,3.4,1.6,0.4,Iris-setosa
28,?,3.5,?,0.2,Iris-setosa
29,?,3.4,1.4,0.2,Iris-setosa
30,?,3.2,1.6,0.2,?
31,4.8,3.1,?,0.2,Iris-setosa
32,5.4,3.4,1.5,0.4,?
33,5.2,4.1,?,?,Iris-setosa
34,5.5,4.2,1.4,0.2,?
35,4.9,3.1,?,0.1,Iris-setosa
36,5.0,3.2,1.2,?,?
37,5.5,3.5,1.3,0.2,Iris-setosa
38,4.9,?,1.5,0.1,?
39,?,3.0,?,0.2,?
40,5.1,?,1.5,0.2,Iris-setosa
41,5.0,3.5,?,0.3,Iris-setosa
42,4.5,2.3,?,0.3,?
43,4.4,3.2,1.3,0.2,Iris-setosa
44,?,3.5,?,0.6,Iris-setosa
45,?,3.8,1.9,0.4,Iris-setosa
46,4.8,3.0,1.4,0.3,Iris-setosa
47,5.1,3.8,1.6,?,?
48,?,3.2,?,0.2,Iris-setosa
49,?,3.7,1.5,0.2,Iris-setosa
50,5.0,3.3,1.4,0.2,Iris-setosa
51,?,3.2,4.7,1.4,?
52,?,3.2,4.5,1.5,Iris-versicolor
53,6.9,?,4.9,1.5,?
54,?,2.3,4.0,1.3,Iris-versicolor
55,6.5,?,4.6,1.5,Iris-versicolor
56,?,2.8,4.5,?,?
57,6.3,?,?,1.6,?
58,4.9,2.4,3.3,?,Iris-versicolor
59,6.6,2.9,4.6,1.3,Iris-versicolor
60,5.2,2.7,?,?,Iris-versicolor
61,5.0,2.0,?,1.0,?
62,5.9,3.0,4.2,1.5,?
63,6.0,2.2,4.0,1.0,Iris-versicolor
64,6.1,2.9,4.7,1.4,Iris-versicolor
65,?,?,3.6,?,?
66,?,3.1,?,1.4,Iris-versicolor
67,5.6,?,4.5,?,?
68,5.8,2.7,4.1,?,Iris-versicolor
69,6.2,?,?,1.5,?
70,?,2.5,3.9,1.1,?
71,5.9,3.2,4.8,?,Iris-versicolor
72,6.1,?,?,1.3,Iris-versicolor
73,?,2.5,4.9,?,Iris-versicolor
74,6.1,2.8,?,?,Iris-versicolor
75,6.4,2.9,?,1.3,Iris-versicolor
76,6.6,?,4.4,1.4,Iris-versicolor
77,6.8,?,?,1.4,?
78,6.7,3.0,5.0,1.7,Iris-versicolor
79,6.0,2.9,4.5,1.5,Iris-versicolor
80,5.7,2.6,3.5,1.0,Iris-versicolor
81,5.5,2.4,?,1.1,Iris-versicolor
82,?,2.4,3.7,1.0,Iris-versicolor
83,5.8,?,3.9,1.2,Iris-versicolor
84,6.0,2.7,5.1,?,Iris-versicolor
85,5.4,?,4.5,?,Iris-versicolor
86,6.0,3.4,4.5,1.6,Iris-versicolor
87,?,3.1,4.7,?,Iris-versicolor
88,6.3,?,4.4,1.3,Iris-versicolor
89,?,?,4.1,1.3,Iris-versicolor
90,?,2.5,4.0,?,?
91,5.5,2.6,4.4,1.2,Iris-versicolor
92,6.1,?,4.6,1.4,Iris-versicolor
93,?,2.6,4.0,1.2,Iris-versicolor
94,5.0,?,?,1.0,Iris-versicolor
95,5.6,2.7,4.2,?,Iris-versicolor
96,?,3.0,4.2,1.2,?
97,5.7,?,?,1.3,?
98,6.2,2.9,4.3,?,Iris-versicolor
99,5.1,?,3.0,1.1,Iris-versicolor
100,5.7,2.8,4.1,1.3,?
101,6.3,?,6.0,2.5,Iris-virginica
102,?,2.7,?,1.9,?
103,7.1,3.0,5.9,2.1,Iris-virginica
104,6.3,?,5.6,1.8,?
105,?,3.0,?,2.2,?
106,?,3.0,6.6,2.1,Iris-virginica
107,4.9,2.5,4.5,1.7,?
108,?,?,?,?,Iris-virginica
109,6.7,?,5.8,1.8,?
110,7.2,?,?,2.5,Iris-virginica
111,6.5,3.2,5.1,2.0,?
112,?,2.7,5.3,1.9,Iris-virginica
113,6.8,3.0,5.5,?,Iris-virginica
114,?,2.5,5.0,?,?
115,5.8,2.8,5.1,?,?
116,6.4,3.2,5.3,2.3,Iris-virginica
117,6.5,3.0,5.5,1.8,?
118,7.7,3.8,6.7,?,?
119,7.7,2.6,?,2.3,Iris-virginica
120,?,2.2,5.0,?,?
121,6.9,3.2,5.7,2.3,?
122,5.6,2.8,4.9,?,?
123,7.7,2.8,6.7,?,?
124,6.3,?,?,?,Iris-virginica
125,?,3.3,5.7,2.1,Iris-virginica
126,7.2,3.2,6.0,1.8,?
127,6.2,2.8,?,1.8,?
128,6.1,?,4.9,?,Iris-virginica
129,6.4,2.8,5.6,?,?
130,7.2,3.0,5.8,?,Iris-virginica
131,7.4,?,6.1,?,?
132,7.9,3.8,6.4,2.0,Iris-virginica
133,6.4,?,5.6,2.2,?
134,?,2.8,5.1,1.5,Iris-virginica
135,6.1,?,?,?,Iris-virginica
136,7.7,3.0,6.1,2.3,Iris-virginica
