@Relation genericBIFF
@Attribute sepallength real
@Attribute sepalwidth real
@Attribute petallength real
@Attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@DATA
4.9,3.0,1.4,0.2,Iris-setosa
4.7,3.2,1.3,0.2,Iris-setosa
5.2,3.4,1.4,0.2,Iris-setosa
5.5,3.5,1.3,0.2,Iris-setosa
4.5,2.3,1.3,0.3,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
4.6,3.2,1.4,0.2,Iris-setosa
5.9,3.0,4.2,1.5,Iris-versicolor
5.7,2.8,4.1,1.3,Iris-versicolor
4.9,2.5,4.5,1.7,Iris-virginica
7.2,3.6,6.1,2.5,Iris-virginica
6.4,2.7,5.3,1.9,Iris-virginica
6.7,3.3,5.7,2.1,Iris-virginica
7.2,3.2,6.0,1.8,Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica
