@Relation genericBIFF
@Attribute sepallength {5.1_5.5,5.8_6.1,4.3_4.9,6.4_6.8,4.9_5.1,6.1_6.4,5.5_5.8,6.8_7.979}
@Attribute sepalwidth {2.9_3.1,2.6_2.9,3.3_3.5,3.1_3.3,2.0_2.6,3.5_4.444000000000001}
@Attribute petallength {4.0_4.5,5.7_6.969,1.7_4.0,4.5_4.8,1.5_1.7,1.0_1.5,4.8_5.2,5.2_5.7}
@Attribute petalwidth {2.0_2.525,0.1_0.3,0.6_1.3,1.5_1.7,1.3_1.5,0.3_0.6,1.7_2.0}
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@DATA
4.3_4.9,3.1_3.3,1.0_1.5,0.1_0.3,Iris-setosa
?,3.3_3.5,1.5_1.7,0.1_0.3,Iris-setosa
4.3_4.9,2.9_3.1,1.0_1.5,0.1_0.3,?
4.9_5.1,3.5_4.444000000000001,1.0_1.5,0.3_0.6,Iris-setosa
4.3_4.9,2.0_2.6,1.0_1.5,0.3_0.6,Iris-setosa
5.5_5.8,2.9_3.1,4.5_4.8,1.5_1.7,Iris-versicolor
5.5_5.8,2.0_2.6,?,0.6_1.3,?
6.1_6.4,2.0_2.6,4.8_5.2,1.5_1.7,Iris-versicolor
6.4_6.8,2.9_3.1,5.7_6.969,2.0_2.525,Iris-virginica
6.8_7.979,?,5.7_6.969,1.7_2.0,Iris-virginica
?,2.0_2.6,5.7_6.969,1.7_2.0,Iris-virginica
6.8_7.979,2.9_3.1,?,2.0_2.525,Iris-virginica
6.4_6.8,2.9_3.1,5.2_5.7,1.7_2.0,?
6.8_7.979,3.1_3.3,5.7_6.969,1.7_2.0,Iris-virginica
6.1_6.4,?,4.8_5.2,1.7_2.0,Iris-virginica
