@Relation genericBIFF

@attribute sepallength real
@attribute sepalwidth real
@attribute petallength real
@attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@data
5.4,?,1.3,?,?
?,3.4,1.4,0.2,Iris-setosa
?,3.0,?,0.2,?
4.5,2.3,?,0.3,?
?,2.5,4.9,?,Iris-versicolor
6.0,3.4,4.5,1.6,Iris-versicolor
5.7,?,?,1.3,?
?,3.0,6.6,2.1,Iris-virginica
6.8,3.0,5.5,?,Iris-virginica
6.1,?,4.9,?,Iris-virginica
7.4,?,6.1,?,?
6.0,3.0,4.8,?,?
6.7,?,?,2.4,Iris-virginica
6.8,?,5.9,2.3,?
5.9,3.0,?,1.8,Iris-virginica
