@Relation genericBIFF
@Attribute x1 {0,1,2,3,4,5,6,7,8,9}
@Attribute x2 {0,1}
@Attribute x3 {0,1}

@DATA
0,0,0
0,1,1
1,1,1
0,1,1
0,0,0
1,1,1
0,0,0
1,1,1
1,0,0
0,0,0
1,0,0
1,1,1
0,0,0
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
0,0,0
1,0,0
0,0,0
0,1,1
1,0,0
0,0,1
1,0,1
0,0,0
1,1,1
0,0,0
0,0,0
1,1,1
1,1,1
1,0,0
0,0,1
1,0,0
1,1,1
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,1,1
0,0,1
1,1,1
0,0,0
1,0,0
0,1,1
0,0,0
0,0,0
1,0,0
1,1,1
0,0,0
0,0,1
0,0,0
0,0,0
1,1,1
1,1,1
1,1,1
0,0,0
1,1,1
1,1,1
0,0,1
0,0,0
1,1,1
0,0,0
0,0,0
1,1,1
1,1,1
0,0,1
1,1,1
1,1,1
0,0,0
1,1,1
0,0,0
1,1,1
1,1,1
1,1,1
1,0,0
0,0,0
1,1,1
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
1,1,1
0,0,0
1,1,1
1,1,1
1,1,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
1,1,1
1,0,0
0,1,1
1,1,1
0,0,1
1,0,0
1,1,1
1,1,1
1,1,1
1,1,1
0,0,0
0,0,0
1,1,1
1,1,1
0,0,0
0,0,0
1,1,1
0,0,0
1,1,1
0,0,0
0,0,1
1,0,0
1,1,1
0,1,1
0,0,0
0,1,1
1,1,1
1,1,1
0,0,0
0,0,0
0,0,0
1,1,1
0,1,1
1,1,1
0,0,0
1,1,1
0,0,1
1,0,1
1,1,1
0,1,1
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,1,1
1,1,1
0,0,0
1,0,0
