@Relation genericBIFF
@Attribute sepallength real
@Attribute sepalwidth real
@Attribute petallength real
@Attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@DATA
4.7,3.2,1.3,?,Iris-setosa
5.0,3.6,1.4,?,Iris-setosa
4.8,3.4,?,0.2,Iris-setosa
?,?,1.4,0.3,Iris-setosa
?,3.5,1.5,0.2,?
5.0,3.5,1.3,0.3,Iris-setosa
6.4,3.2,4.5,1.5,Iris-versicolor
4.9,2.4,3.3,1.0,Iris-versicolor
?,2.9,4.5,?,Iris-versicolor
6.2,2.9,4.3,1.3,Iris-versicolor
7.2,3.6,6.1,2.5,Iris-virginica
6.4,2.7,5.3,1.9,Iris-virginica
6.4,3.2,5.3,?,Iris-virginica
7.2,3.2,6.0,1.8,Iris-virginica
6.9,3.1,5.4,2.1,Iris-virginica
