@Relation genericBIFF
@Attribute x1 {0,1}
@Attribute x2 {0,1}
@Attribute x3 {0,1}

@DATA
0,0,0
0,1,1
1,1,1
0,1,1
0,0,0
1,1,1
0,0,0
1,1,1
1,0,0
0,0,0
1,0,0
1,1,1
0,0,0
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
0,0,0
1,0,0
0,0,0
0,1,1
1,0,0
0,0,1
1,0,1
0,0,0
1,1,1
0,0,0
0,0,0
1,1,1
1,1,1
1,0,0
0,0,1
1,0,0
1,1,1
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,1,1
0,0,1
1,1,1
0,0,0
1,0,0
0,1,1
0,0,0
0,0,0
1,0,0
1,1,1
0,0,0
0,0,1
0,0,0
0,0,0
1,1,1
1,1,1
1,1,1
0,0,0
1,1,1
1,1,1
0,0,1
0,0,0
1,1,1
0,0,0
0,0,0
1,1,1
1,1,1
0,0,1
1,1,1
1,1,1
0,0,0
1,1,1
0,0,0
1,1,1
1,1,1
1,1,1
1,0,0
0,0,0
1,1,1
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
1,1,1
0,0,0
1,1,1
1,1,1
1,1,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
1,1,1
1,0,0
0,1,1
1,1,1
0,0,1
1,0,0
1,1,1
1,1,1
1,1,1
1,1,1
0,0,0
0,0,0
1,1,1
1,1,1
0,0,0
0,0,0
1,1,1
0,0,0
1,1,1
0,0,0
0,0,1
1,0,0
1,1,1
0,1,1
0,0,0
0,1,1
1,1,1
1,1,1
0,0,0
0,0,0
0,0,0
1,1,1
0,1,1
1,1,1
0,0,0
1,1,1
0,0,1
1,0,1
1,1,1
0,1,1
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,1,1
1,1,1
0,0,0
1,0,0
